ProductId,Score,Summary,Text
B002FJM9SU,5,Good food for baby and toddlers,I was pleased with this product for my baby. She has used organic formula along w/ breastfeeding. I was very confident feeding her this as I had done much research.
B002FJM9SU,5,Has worked great for us,My baby has been on this from 5 months and has worked great. He is now 14 months and thriving. I wish I knew about this when daughter was on formula.
B002FJM9SU,5,Totally outstanding,"Here is why this is the perfect formula:<br />1. Organic<br />2. No corn syrup solids (almost impossible to find this)<br />3. Fortified with DHA<br />4. DHA is extracted using organic processes versus the indrustry standard of using hexane (toxic for the environment, at the very least)<br />5. Great taste<br /><br />Our daughter is 13 months - we do 1/2 organic whole milk, 1/2 this formula.  She was breastfed for the first year, and transitioned easily to this formula.<br /><br />Highly recommended!!"
B002FJM9SU,5,Switching baby from exclusive breast fed to this formula at 1 year!,"So I know that it is ok to give a baby cow's milk at 1 year old, but I have exclusively breastfed and my son has never had any formula or cow's milk before 1 year.  So I am transitioning to this, it has more vitamins than regular milk, it doesn't stink like formula (while it doesn't smell great, but I'm used to breast milk) and I think it is a healthier option than giving him regular whole milk.  I am still weaning---down to 2 nursing sessions a day) but I am doing 50% breast milk with 50% formula and he seems to like it fine!  The first time I tried it, he furrowed his brow a couple of times but still drank 4 oz (I have never been able to get my son to drink more than 5 or 6 oz from a bottle).  So we are very pleased, I am going to taper him over to this gradually from breast milk so hopefully he will  have no problems and will hardly notice the transition.  I'm planning to do 70% formula to 30% breast milk next week and then just straight formula, depending on how long my breast milk stash lasts.<br /><br />I honestly believe the hardest part in introducing any food/milk is patience and consistency.  I think I have put peas and sweet potatoes  in front of my son 8 times until one day he decided he would eat it.  I think so much of it is nutrition training..."
B002FJM9SU,1,arsenic,"I used this formula for my baby thinking I was getting the best (with all the info about hexane, DHA, etc.). But recently it was out in the news that Baby's Only, both dairy and soy formulas, contain arsenic levels 20-30x more than that of other formulas. Now that is a huge difference.<br />  Because the 2 official statements this company has come out with are just denials of what the studies have shown, I no longer trust this company. Why not just replace brown rice syrup with another sweetener? But they continue to claim brown rice syrup is safe, when it's been found to contain high levels of arsenic. Safety should be the priority, especially when you're dealing with infants/toddlers, not profit."
B002FJM9SU,1,Doctors said to discontinue due to highest arsenic levels of any formula out there,"After consulting with many doctors in our area, ww decided to discontinue this formula.  The high levels of inorganic arsenic in this formula are believed to increase the risk of many cancers, diabetes etc.  Although we have been feeding this stuff to our baby for about 6 months, the doctors said it is no cause for alarm, but to be on the safe side to change to any formula that does not contain brown rice syrup as its principal ingredient, until more studies have been completed.  It is astounding to me that the brown rice syrup is not regularly being tested by Nature's one because he FDA does not have any firm standards for arsenic.  What a cop out.  This is completely irresponsible considering its the main ingredient.  I did a lot of research before feeding this to my child and wanted to believe that this was the best formula out there but I feel like we have been let down.  I guess I have to rethink that idea that anything labeled ""organic"" is made with purest, ethical ingredients.  Anyway, I know other formulas have their drawbacks too (hexane, etc), but they are much lower risk than the inorganic arsenic which i read takes about 2-3 days clear half of it from the body and about 7 months eliminate all of it.  Look elsewhere."
B002FJM9SU,1,Baby's Only - Only if you want arsenic (Recalled in Canada),"We used this product for many months only to find out recently that it had elevated inorganic arsenic levels equal or higher than the FDA standard for drinking water.  The company refuses to publish testing results, likely out of fear that they are higher than what the Dartmouth study revealed.  This company is not honest with its customers.  AVOID AT ALL COST.  My daughter will be tested for arsenic shortly - I repeat this company is not ethical - go to their facebook page and see the number of unhappy parents.<br /><br />Do your research and find another formula.<br /><br />P.S.- 2/27/12 - The Canadian version of the FDA has issued a recall on all Nature One products."
B002FJM9SU,2,Another baby with (bad) constipation,Formula tastes good and is high quality but our poor girl got serious constipation from drinking it (we made sure by changing only one thing in the diet).
B002FJM9SU,1,Do your research,"If you do a search for ""arsenic baby formula"" you will see the results of a study that showed that this formula contains high levels of arsenic.  Read the study, make your own decisions.  The study isn't talking about organic baby formula in general, it is specifically this brand, this formula.<br /><br />When I told my pediatrician we were giving our daughter organic formula, she made sure we were not using this brand.  Unfortunately, we bought this before reading the study.  We won't be using this formula.  Instead, we're going with Vermont Organics.<br /><br />**Update**<br /><br />A recent article in Consumer Reports shows that Baby's Only has made an effort to remove arsenic in their formula.  Look for a use-by date of January 2014 (Dairy with DHA & ARA), July 2015 (Dairy), or later.  In these newer formulas, arsenic is undetectable.<br /><br />I'm leaving it at 1 star because I have 3 cans of this that I can't return and that I'll never use.  I won't be buying the new formula because my daughter is already enjoying Vermont Organics and there's no point switching, so I don't know if the new stuff is any good."
B002FJM9SU,5,Safe and great for my child,"I am happy with my product. I bought this and it is safe for my child because they didn't have constipation. He loves it, I reccommend all parents try it on their toddlers and babies."
B002FJM9SU,1,ARESENIC,I would give it a zero if I could. Please do not give this to your child. I have been giving it to my 9 month old for 4 months now. Look into the formula history and the non-bias studies showing that there is arsenic in the Organic Brown Rice Syrup. Please do your research and do NOT give your little one this formula. We as parents go out and research and try to provide the very best for our children and this company is okay with the amount of arsenic that is in their formula. I am not okay with that...there should be NO pesticides in the formula. Shame on YOU Nature's One Shame on YOU. Please do not be deceived like I was.
B002FJM9SU,1,Do your research first. Contains Arsenic from Brown Rice Syrup!,"i've switched to Earth's Best since..Organic Brown Rice Syrup is the main ingredient and reports have shown that Organic Brown Rice Syrup: Hidden Arsenic Source.<br />This formula is VERY sweet, like a milkshake. Beware!I'm very upset bc i pay a lot of $ for organic only to find there's hidden dangers such as arsenic.<br /><br />[...]<br />[...]"
B002FJM9SU,5,Don't be fooled by the arsenic reports,I hate seeing recent 1 star reports due the flawed arsenic study. Do your research and you'll realize this is the best formula out there. There are no better alternatives.<br /><br />Diego.
B002FJM9SU,5,"Nothings perfect, but we love this formula!","My twins have been on this formula since they were about 7 months old.  It was an easy transition for them from breastmilk... no constipation or anything.  I did a lot of research at the time to try to find the best formula for them.  I was really impressed with the high quality ingredients, lack of corn by-products, etc.  I ruled out other formulas one by one due to other concerns (hexane, bpa, etc).  Now my girls are almost a year old and we are almost done with formula and there are reports out about arsenic concerns.  It is a bit alarming, however I'm not sure what I would switch them to since I already ruled out all of the other for various reasons!  Certainly can't go back to breastfeeding at this point.  It seems that everything out there from baby formula to apple juice to baby shampoo has something in it that's bad for us.  It's a scary world for a parent, trying to find the best products for our children.  But at some point we just have to take a deep breath and relax.  We're doing the best we can.  My babies have been happy and healthy while on this formula.  They are chubby and regular.  I don't plan on switching them to any other formula (which would have some other ingredient for me to be concerned about).  My only advice to moms out there is to breastfeed for as long as you can!"
